OBJECTID,COUNTRY,year,literacy,,,,,,,
3666,Hungary,1995,99,,,,,,,
10986,Hungary,2000,99,,,,,,,
11806,Hungary,2005,99,,,,,,,
12626,Hungary,2010,99,,,,,,,
8595,Iceland,1950,98.5,,,,,,,
11807,Iceland,2005,99,,,,,,,
12627,Iceland,2010,99,,,,,,,
18186,India,1900,6.2,,,,,,,
18196,India,1910,7,,,,,,,
18206,India,1920,8.3,,,,,,,
18216,India,1930,9.1,,,,,,,
8596,India,1950,19.3,,,,,,,
4302,India,1960,27.8,,,,,,,
51,India,1970,34.1,,,,,,,
1439,India,1980,40.7999999999999,,,,,,,
2886,India,1990,48.2,,,,,,,
3668,India,1995,52,,,,,,,
10988,India,2000,61,,,,,,,
12628,India,2010,62.6,,,,,,,
8597,Indonesia,1950,17.5,,,,,,,
4303,Indonesia,1960,56.6,,,,,,,
52,Indonesia,1970,56.6,,,,,,,
1440,Indonesia,1980,67.2999999999999,,,,,,,
2887,Indonesia,1990,81.5,,,,,,,
3669,Indonesia,1995,83.7999999999999,,,,,,,
10989,Indonesia,2000,87.2999999999999,,,,,,,
11809,Indonesia,2005,92,,,,,,,
12629,Indonesia,2010,92.5999999999999,,,,,,,
8598,Iran,1950,12.5,,,,,,,
9012,Iran,1955,12.8,,,,,,,
4304,Iran,1960,15.6,,,,,,,
4899,Iran,1965,22.8,,,,,,,
53,Iran,1970,36.8999999999999,,,,,,,
730,Iran,1975,36.5,,,,,,,
2163,Iran,1985,52.2999999999999,,,,,,,
2888,Iran,1990,65.5,,,,,,,
3670,Iran,1995,73.0999999999999,,,,,,,
10990,Iran,2000,77,,,,,,,
11810,Iran,2005,82.4,,,,,,,
12630,Iran,2010,85,,,,,,,
8227,Iraq,1945,10.9,,,,,,,
8599,Iraq,1950,12.5,,,,,,,
4305,Iraq,1960,14.4,,,,,,,
4900,Iraq,1965,24.1999999999999,,,,,,,
1442,Iraq,1980,40.3999999999999,,,,,,,
2889,Iraq,1990,52.2999999999999,,,,,,,
3671,Iraq,1995,58,,,,,,,
10991,Iraq,2000,74.0999999999999,,,,,,,
12631,Iraq,2010,78.2,,,,,,,
8641,Ireland,1950,98.5,,,,,,,
4364,Ireland,1960,98.7,,,,,,,
128,Ireland,1970,98.7999999999999,,,,,,,
1522,Ireland,1980,98.7999999999999,,,,,,,
2968,Ireland,1990,99,,,,,,,
11081,Ireland,2000,99,,,,,,,
11901,Ireland,2005,99,,,,,,,
12721,Ireland,2010,99,,,,,,,
8600,Israel,1950,93.7,,,,,,,
4306,Israel,1960,84.2,,,,,,,
55,Israel,1970,87.9,,,,,,,
2165,Israel,1985,91.7999999999999,,,,,,,
11812,Israel,2005,97.0999999999999,,,,,,,
5516,Italy,1900,51.7999999999999,,,,,,,
6065,Italy,1910,62.7999999999999,,,,,,,
6621,Italy,1920,72.5,,,,,,,
7249,Italy,1930,78.4,,,,,,,
8601,Italy,1950,87.5,,,,,,,
56,Italy,1970,93.9,,,,,,,
1444,Italy,1980,96.5,,,,,,,
2891,Italy,1990,97,,,,,,,
10993,Italy,2000,98.4,,,,,,,
